Payment_Type,Total_Transactions,Total_Amount,Quarter,Year,State
Merchant payments,57245,44125206.35,1,2020,meghalaya
Financial Services,473,402779.8903,1,2020,meghalaya
Others,2329,2207471.061,1,2020,meghalaya
Recharge & bill payments,382662,100570200.3,2,2020,meghalaya
Peer-to-peer payments,202270,998750895.9,2,2020,meghalaya
Merchant payments,46014,48980521.42,2,2020,meghalaya
Financial Services,1186,2944583.115,2,2020,meghalaya
Others,3263,2488953.644,2,2020,meghalaya
Recharge & bill payments,342484,97662913.13,3,2020,meghalaya
Peer-to-peer payments,194448,1065012682,3,2020,meghalaya
Merchant payments,55595,67511647.13,3,2020,meghalaya
Financial Services,1587,4049966.813,3,2020,meghalaya
Others,3465,2821792.588,3,2020,meghalaya
Recharge & bill payments,350006,102794647.8,4,2020,meghalaya
Peer-to-peer payments,286252,1579858348,4,2020,meghalaya
Merchant payments,111471,115136797.6,4,2020,meghalaya
Financial Services,1809,2774557.112,4,2020,meghalaya
Others,4470,3678221.666,4,2020,meghalaya
Peer-to-peer payments,326993,1794745857,1,2021,meghalaya
Recharge & bill payments,306634,106098525.7,1,2021,meghalaya
Merchant payments,108805,147747773,1,2021,meghalaya
Financial Services,1777,3981898.046,1,2021,meghalaya
Others,3437,2941223.95,1,2021,meghalaya
Recharge & bill payments,389959,129031455.7,2,2021,meghalaya
Peer-to-peer payments,366411,1885041504,2,2021,meghalaya
Merchant payments,147406,173894963,2,2021,meghalaya
Financial Services,1766,2306496.855,2,2021,meghalaya
Others,4052,3342835.527,2,2021,meghalaya
Peer-to-peer payments,473274,2348008593,3,2021,meghalaya
Recharge & bill payments,418429,144363692.8,3,2021,meghalaya
Merchant payments,199427,270311210.9,3,2021,meghalaya
Financial Services,1556,2379067.115,3,2021,meghalaya
Others,5045,3937887.554,3,2021,meghalaya
Peer-to-peer payments,669693,3233210262,4,2021,meghalaya
Recharge & bill payments,447310,165277548.5,4,2021,meghalaya
Merchant payments,314445,442464385,4,2021,meghalaya
Financial Services,1989,2464327.924,4,2021,meghalaya
Others,6756,5348877.037,4,2021,meghalaya
Peer-to-peer payments,801009,3899172009,1,2022,meghalaya
Recharge & bill payments,459530,192026788.6,1,2022,meghalaya
Merchant payments,405859,563004043.9,1,2022,meghalaya
Financial Services,2134,3019251.86,1,2022,meghalaya
Others,6218,5116238.236,1,2022,meghalaya
Peer-to-peer payments,977816,4359000096,2,2022,meghalaya
Merchant payments,591364,714995836.6,2,2022,meghalaya
Recharge & bill payments,467745,200896879.7,2,2022,meghalaya
Financial Services,1880,2406087.095,2,2022,meghalaya
Others,5844,4192522.345,2,2022,meghalaya
Peer-to-peer payments,2050942,7796315454,3,2022,meghalaya
Merchant payments,1486098,1468318733,3,2022,meghalaya
Recharge & bill payments,810017,330230375.9,3,2022,meghalaya
Financial Services,3504,3106775.386,3,2022,meghalaya
Others,8604,5329459.166,3,2022,meghalaya
Peer-to-peer payments,1901671,7328913724,4,2022,meghalaya
Merchant payments,1334431,1381013597,4,2022,meghalaya
Recharge & bill payments,685678,278377945.4,4,2022,meghalaya
Financial Services,3544,3564357.12,4,2022,meghalaya
Others,7124,4671532.631,4,2022,meghalaya
Recharge & bill payments,10155,2199565.259,1,2018,mizoram
Peer-to-peer payments,6845,41186717.28,1,2018,mizoram
Merchant payments,616,1066002.167,1,2018,mizoram
Financial Services,260,65022.49897,1,2018,mizoram
Others,685,709912.7728,1,2018,mizoram
Recharge & bill payments,13550,3107406.502,2,2018,mizoram
Peer-to-peer payments,11427,77040044.25,2,2018,mizoram
Merchant payments,1310,2368711.976,2,2018,mizoram
Financial Services,167,60939.77305,2,2018,mizoram
Others,597,931303.0543,2,2018,mizoram
Peer-to-peer payments,18564,108783543.9,3,2018,mizoram
Recharge & bill payments,17610,4050433.596,3,2018,mizoram
Merchant payments,2310,2952533.8,3,2018,mizoram
Financial Services,240,43891.23943,3,2018,mizoram
Others,592,770335.5795,3,2018,mizoram
Peer-to-peer payments,26212,177049162.1,4,2018,mizoram
Recharge & bill payments,24533,5523702.976,4,2018,mizoram
Merchant payments,3699,6911586.608,4,2018,mizoram
Financial Services,145,35654.18338,4,2018,mizoram
Others,653,906746.631,4,2018,mizoram
Peer-to-peer payments,35126,204183867.4,1,2019,mizoram
Recharge & bill payments,30327,6760113.704,1,2019,mizoram
Merchant payments,3984,6470456.032,1,2019,mizoram
Financial Services,133,33512.39607,1,2019,mizoram
Others,736,712945.8536,1,2019,mizoram
Peer-to-peer payments,37364,233471780,2,2019,mizoram
Recharge & bill payments,31903,7823562.398,2,2019,mizoram
Merchant payments,5646,5889316.861,2,2019,mizoram
Financial Services,80,14455.38099,2,2019,mizoram
Others,678,817593.4915,2,2019,mizoram
Recharge & bill payments,49073,12966806.7,3,2019,mizoram
Peer-to-peer payments,42645,257538220.2,3,2019,mizoram
Merchant payments,5560,7397529.021,3,2019,mizoram
Financial Services,94,72985.31151,3,2019,mizoram
Others,722,818358.6945,3,2019,mizoram
Recharge & bill payments,60511,16857122.31,4,2019,mizoram
Peer-to-peer payments,57109,341664291.5,4,2019,mizoram
Merchant payments,6939,9451111.139,4,2019,mizoram
Financial Services,100,20966.33331,4,2019,mizoram
Others,580,695859.3608,4,2019,mizoram
Recharge & bill payments,85067,24356294.59,1,2020,mizoram
Peer-to-peer payments,57916,356260523.2,1,2020,mizoram
Merchant payments,9961,10404414.59,1,2020,mizoram
Financial Services,119,283854.3188,1,2020,mizoram
Others,546,772492.6204,1,2020,mizoram
Recharge & bill payments,127592,37504550.78,2,2020,mizoram
Peer-to-peer payments,60021,404110075.1,2,2020,mizoram
Merchant payments,10056,14627463.66,2,2020,mizoram
Financial Services,244,434960.2799,2,2020,mizoram
Others,549,516383.6344,2,2020,mizoram
Recharge & bill payments,132664,40941077.03,3,2020,mizoram
Peer-to-peer payments,99644,634560147.4,3,2020,mizoram
Merchant payments,20934,30693648.24,3,2020,mizoram
Financial Services,535,824864.5131,3,2020,mizoram
Others,926,924438.3715,3,2020,mizoram
Peer-to-peer payments,141038,887252744.1,4,2020,mizoram
Recharge & bill payments,140297,45386403.17,4,2020,mizoram
Merchant payments,39676,52094800.57,4,2020,mizoram
Financial Services,607,855201.5881,4,2020,mizoram
Others,989,932966.3003,4,2020,mizoram
Peer-to-peer payments,156386,982955112.2,1,2021,mizoram
Recharge & bill payments,128055,45558278.22,1,2021,mizoram
Merchant payments,43511,70289687.95,1,2021,mizoram
Financial Services,648,1330632.979,1,2021,mizoram
Others,975,971875.6084,1,2021,mizoram
Peer-to-peer payments,173064,995581952.9,2,2021,mizoram
Recharge & bill payments,161763,56059844.24,2,2021,mizoram
Merchant payments,57877,69528721.4,2,2021,mizoram
Financial Services,611,710657.5066,2,2021,mizoram
Others,1025,993297.2509,2,2021,mizoram
Peer-to-peer payments,224873,1290523196,3,2021,mizoram
Recharge & bill payments,177281,67493206.62,3,2021,mizoram
Merchant payments,74553,113697005.9,3,2021,mizoram
Financial Services,522,806905.9729,3,2021,mizoram
Others,1300,1228335.458,3,2021,mizoram
Peer-to-peer payments,272209,1545255603,4,2021,mizoram
Recharge & bill payments,179405,67548806.85,4,2021,mizoram
Merchant payments,99265,154183940.7,4,2021,mizoram
Financial Services,695,2202285.708,4,2021,mizoram
Others,1755,1475104.828,4,2021,mizoram
Peer-to-peer payments,302740,1691281090,1,2022,mizoram
Recharge & bill payments,190137,76541062.34,1,2022,mizoram
Merchant payments,109669,174157725.4,1,2022,mizoram
Financial Services,731,1657575.283,1,2022,mizoram
Others,1640,1521510.587,1,2022,mizoram
Peer-to-peer payments,332102,1739114390,2,2022,mizoram
Recharge & bill payments,172281,70775723.35,2,2022,mizoram
Merchant payments,137279,191484723.8,2,2022,mizoram
Financial Services,656,801633.2115,2,2022,mizoram
Others,1659,1010096.481,2,2022,mizoram
Peer-to-peer payments,349715,1665955695,3,2022,mizoram
Recharge & bill payments,156874,68463689.8,3,2022,mizoram
Merchant payments,150320,209934220.3,3,2022,mizoram
Financial Services,802,880187.5513,3,2022,mizoram
Others,1327,1031819.444,3,2022,mizoram
Peer-to-peer payments,378295,1750113148,4,2022,mizoram
Merchant payments,164389,222455759.2,4,2022,mizoram
Recharge & bill payments,148573,63477925.04,4,2022,mizoram
Financial Services,932,949850.1989,4,2022,mizoram
Others,1585,914402.5369,4,2022,mizoram
Recharge & bill payments,28198,5361675.55,1,2018,nagaland
Peer-to-peer payments,11631,69830122.02,1,2018,nagaland
Merchant payments,822,1170667.415,1,2018,nagaland
Financial Services,399,299016.7346,1,2018,nagaland
Others,1795,1344409.366,1,2018,nagaland
Recharge & bill payments,41959,9139467.704,2,2018,nagaland
Peer-to-peer payments,20099,140193107.7,2,2018,nagaland
Merchant payments,1529,2293935.491,2,2018,nagaland
Financial Services,379,153458.5232,2,2018,nagaland
Others,1633,1545608.465,2,2018,nagaland
Recharge & bill payments,54885,12664922.72,3,2018,nagaland
Peer-to-peer payments,33930,223964723.2,3,2018,nagaland
Merchant payments,3518,3631042.278,3,2018,nagaland
Financial Services,460,125171.6185,3,2018,nagaland
Others,1578,1406883.165,3,2018,nagaland
Recharge & bill payments,72881,16615511.42,4,2018,nagaland
Peer-to-peer payments,53723,358926253.4,4,2018,nagaland
Merchant payments,10350,10500634.79,4,2018,nagaland
Financial Services,587,216127.4085,4,2018,nagaland
Others,1792,1754940.491,4,2018,nagaland
Recharge & bill payments,87596,20020458.08,1,2019,nagaland
Peer-to-peer payments,71642,411855878.2,1,2019,nagaland
Merchant payments,7306,8187940.322,1,2019,nagaland
Financial Services,430,101072.8977,1,2019,nagaland
Others,1605,1776362.866,1,2019,nagaland
Recharge & bill payments,92492,21350211.08,2,2019,nagaland
Peer-to-peer payments,81065,487705354.5,2,2019,nagaland
Merchant payments,12949,8990954.08,2,2019,nagaland
Financial Services,286,129758.0026,2,2019,nagaland
Others,1961,1890404.533,2,2019,nagaland
Recharge & bill payments,145812,33293527.93,3,2019,nagaland
Peer-to-peer payments,100736,601803135.5,3,2019,nagaland
Merchant payments,13031,13381591.2,3,2019,nagaland
Financial Services,210,229319.8492,3,2019,nagaland
Others,2089,2248897.262,3,2019,nagaland
Recharge & bill payments,172761,39720745.6,4,2019,nagaland
Peer-to-peer payments,128674,777298578.6,4,2019,nagaland
Merchant payments,13578,15460907.23,4,2019,nagaland
Financial Services,499,283291.7741,4,2019,nagaland
Others,1658,1773615.135,4,2019,nagaland
Recharge & bill payments,221741,53662023.32,1,2020,nagaland
Peer-to-peer payments,135966,821508819.6,1,2020,nagaland
Merchant payments,18249,17663339.37,1,2020,nagaland
Financial Services,528,215066.7835,1,2020,nagaland
Others,1567,1730779.671,1,2020,nagaland
Recharge & bill payments,328269,85264116.12,2,2020,nagaland
Peer-to-peer payments,166866,1025000210,2,2020,nagaland
Merchant payments,20004,25214703.91,2,2020,nagaland
Financial Services,860,989239.9672,2,2020,nagaland
Others,1567,1206234.395,2,2020,nagaland
Recharge & bill payments,347494,91214897.19,3,2020,nagaland
Peer-to-peer payments,330638,1851638120,3,2020,nagaland
Merchant payments,51912,62568884.13,3,2020,nagaland
Financial Services,2544,2136903.024,3,2020,nagaland
Others,3731,2090339.271,3,2020,nagaland
Peer-to-peer payments,417393,2563827858,4,2020,nagaland
Recharge & bill payments,335297,91929581.88,4,2020,nagaland
Merchant payments,90496,113115660.2,4,2020,nagaland
Financial Services,1068,1017278.31,4,2020,nagaland
Others,3571,3194492.153,4,2020,nagaland
Peer-to-peer payments,477346,2841021698,1,2021,nagaland
Recharge & bill payments,376473,110095189.6,1,2021,nagaland
Merchant payments,116846,151202427.1,1,2021,nagaland
Financial Services,1511,1929643.694,1,2021,nagaland
Others,3721,3201525.695,1,2021,nagaland
Peer-to-peer payments,526966,2847731458,2,2021,nagaland
Recharge & bill payments,453979,126962524.7,2,2021,nagaland
Merchant payments,144413,176831583.1,2,2021,nagaland
Financial Services,1624,1785915.637,2,2021,nagaland
Others,3809,2982482.691,2,2021,nagaland
Peer-to-peer payments,667633,3536780177,3,2021,nagaland
Recharge & bill payments,474693,141172028.2,3,2021,nagaland
Merchant payments,208387,304493279.8,3,2021,nagaland
Financial Services,1437,1634878.889,3,2021,nagaland
Others,4642,3336484.283,3,2021,nagaland
Peer-to-peer payments,819452,4335295238,4,2021,nagaland
Recharge & bill payments,492411,154359432.1,4,2021,nagaland
Merchant payments,311673,442578210.1,4,2021,nagaland
Financial Services,1790,2263055.522,4,2021,nagaland
Others,6157,4587848.469,4,2021,nagaland
Peer-to-peer payments,963378,4798355632,1,2022,nagaland
Recharge & bill payments,529038,175942440.6,1,2022,nagaland
Merchant payments,425336,563650239.9,1,2022,nagaland
Financial Services,2022,2503998.825,1,2022,nagaland
Others,6178,4499397.928,1,2022,nagaland
Peer-to-peer payments,1032542,4933041257,2,2022,nagaland
Merchant payments,513456,640665988.2,2,2022,nagaland
Recharge & bill payments,479322,162238616.4,2,2022,nagaland
Financial Services,1547,1519503.219,2,2022,nagaland
Others,4462,2819984.002,2,2022,nagaland
Peer-to-peer payments,990896,4568905306,3,2022,nagaland
Merchant payments,467257,642368278.6,3,2022,nagaland
Recharge & bill payments,430854,148324294.7,3,2022,nagaland
Financial Services,1479,2345498.603,3,2022,nagaland
Others,3627,2457117.276,3,2022,nagaland
Peer-to-peer payments,1314122,5888068477,4,2022,nagaland
Merchant payments,647805,906834415.5,4,2022,nagaland
Recharge & bill payments,508230,170028535.8,4,2022,nagaland
Financial Services,2104,1909585.07,4,2022,nagaland
Others,3944,3125371.206,4,2022,nagaland
Recharge & bill payments,2874109,331254466.2,1,2018,odisha
Peer-to-peer payments,2305610,4033548999,1,2018,odisha
Financial Services,323352,58099674.95,1,2018,odisha
Merchant payments,129659,112301341.7,1,2018,odisha
Others,177091,92427728.93,1,2018,odisha
Peer-to-peer payments,3989202,7621288196,2,2018,odisha
Recharge & bill payments,3307545,482823290.4,2,2018,odisha
Financial Services,472304,67829259.92,2,2018,odisha
Merchant payments,257628,213530873.4,2,2018,odisha
Others,131465,102838720.4,2,2018,odisha
Peer-to-peer payments,24472139,22029087499,3,2018,odisha
Recharge & bill payments,3886392,605721781.5,3,2018,odisha
Financial Services,836547,97292154.49,3,2018,odisha
Merchant payments,729995,275532813.4,3,2018,odisha
Others,127082,86881527.58,3,2018,odisha
Peer-to-peer payments,12285028,21804268078,4,2018,odisha
Recharge & bill payments,5142124,773017649.6,4,2018,odisha
Merchant payments,3061813,682181415.9,4,2018,odisha
Financial Services,495495,55534399.31,4,2018,odisha
Others,158338,114868029.2,4,2018,odisha
Peer-to-peer payments,24117274,33342321631,1,2019,odisha
Recharge & bill payments,6713747,1120730273,1,2019,odisha
Merchant payments,2690762,821493664.6,1,2019,odisha
Financial Services,375910,34542738.89,1,2019,odisha
Others,134249,108039623.3,1,2019,odisha
Peer-to-peer payments,16455353,41423292022,2,2019,odisha
Recharge & bill payments,7845252,1506620073,2,2019,odisha
Merchant payments,4827067,1664621261,2,2019,odisha
Financial Services,202705,20424212.31,2,2019,odisha
Others,181647,139897303.5,2,2019,odisha
Peer-to-peer payments,18490877,51447586885,3,2019,odisha
Merchant payments,13984738,3895753253,3,2019,odisha
Recharge & bill payments,8565917,1806123698,3,2019,odisha
Financial Services,195034,31079934.76,3,2019,odisha
Others,185706,124033587.2,3,2019,odisha
Peer-to-peer payments,43284477,72966050937,4,2019,odisha
Recharge & bill payments,10629461,2290841668,4,2019,odisha
Merchant payments,10601703,4395710870,4,2019,odisha
Financial Services,323887,38782542.05,4,2019,odisha
Others,156105,77987614.25,4,2019,odisha
Peer-to-peer payments,27110930,82863844732,1,2020,odisha
Merchant payments,13269709,5738217250,1,2020,odisha
Recharge & bill payments,13083524,3253609733,1,2020,odisha
Financial Services,84037,27641460.91,1,2020,odisha
Others,134107,73485022.97,1,2020,odisha
Peer-to-peer payments,24520938,80990080778,2,2020,odisha
Recharge & bill payments,17040333,4551061364,2,2020,odisha
Merchant payments,8313965,6092753945,2,2020,odisha
Financial Services,66787,50322080.34,2,2020,odisha
Others,86553,48818444.57,2,2020,odisha
Peer-to-peer payments,34182172,1.07065E+11,3,2020,odisha
Recharge & bill payments,17126851,5015719824,3,2020,odisha
Merchant payments,14519265,10242496366,3,2020,odisha
Financial Services,90736,84971747.76,3,2020,odisha
Others,114805,56087156.19,3,2020,odisha
Peer-to-peer payments,47588728,1.53209E+11,4,2020,odisha
Merchant payments,27124765,19347472703,4,2020,odisha
Recharge & bill payments,17318073,5532179002,4,2020,odisha
Financial Services,106189,104419909.7,4,2020,odisha
Others,187195,109856053,4,2020,odisha
Peer-to-peer payments,54417515,1.8145E+11,1,2021,odisha
Merchant payments,38180718,25201936762,1,2021,odisha
Recharge & bill payments,18633830,6552605938,1,2021,odisha
Financial Services,87263,95064023.95,1,2021,odisha
Others,141032,97693172.73,1,2021,odisha
Peer-to-peer payments,66929109,2.08406E+11,2,2021,odisha
Merchant payments,39402607,29208847675,2,2021,odisha
Recharge & bill payments,25183699,8024323050,2,2021,odisha
